Ticker,Nombre,Sector,Precio_Actual,Dif_%_vs_Max,PE_Actual,PEG_Ratio,Margen_Op_%,Crec_EPS_%,Crec_Ventas_%,Target_WallSt,Upside_B5_%
MVST,"Microvast Holdings, Inc.",Consumer Cyclical,0.69,-90.29,5.76,,-1.96,0.0,-4.5,4.5,551.23
ASTS,"AST SpaceMobile, Inc.",Technology,62.31,-53.45,-48.33,,-544.63,0.0,2626.6,79.61,27.76
NBIS,Nebius Group N.V.,Communication Services,226.39,-24.5,-75.53,0.54,-0.22,0.0,454.0,286.69,26.63
RKLB,Rocket Lab Corporation,Industrials,64.26,-57.44,1445.99,,-24.57,0.0,62.0,111.0,72.74
FSLR,"First Solar, Inc.",Technology,204.45,-36.3,8.85,0.38,42.64,23.3,-3.7,275.3,34.66
EC,Ecopetrol S.A.,Energy,17.25,-5.17,10.06,0.77,0.0,234.5,35.5,13.91,-19.37
PL,Planet Labs PBC,Industrials,18.12,-64.99,12671.33,,-12.0,0.0,58.1,35.36,95.16
BA,Boeing Company (The),Industrials,212.25,-16.55,51.51,1.53,0.0,0.0,8.0,274.85,29.49
IRDM,Iridium Communications Inc,Communication Services,47.21,-17.44,27.53,1.84,15.1,-55.0,3.8,42.0,-11.04
RDW,Redwire Corporation,Industrials,10.53,-60.47,-35.69,,-18.86,0.0,89.6,14.69,39.48
LIN,Linde plc,Basic Materials,477.57,-12.6,24.42,1.85,28.12,11.3,9.3,544.54,14.02
GFS,GlobalFoundries Inc.,Technology,45.21,-51.08,17.28,0.68,9.74,-26.8,5.8,76.0,68.1
COHR,Coherent Corp.,Technology,281.86,-35.94,20.2,0.92,11.83,0.0,33.7,415.36,47.36
LITE,Lumentum Holdings Inc.,Technology,881.26,-18.83,26.46,0.63,27.95,0.0,109.3,1148.43,30.32
INTC,Intel Corporation,Technology,95.8,-32.7,46.91,1.36,12.19,0.0,25.4,115.78,20.86
GENB,"Generate Biomedicines, Inc.",Healthcare,16.39,-27.7,-7.19,,-1134.21,0.0,-37.7,27.0,64.73
OUST,"Ouster, Inc.",Technology,36.43,-42.89,-291.44,,-46.58,0.0,55.9,59.4,63.05
PRME,"Prime Medicine, Inc.",Healthcare,3.7,-46.69,-4.19,,-3750.87,0.0,3.5,7.11,92.26
RVMD,"Revolution Medicines, Inc.",Healthcare,210.02,-6.37,-35.9,,0.0,0.0,0.0,250.46,19.26
NXP,Nuveen Select Tax Free Income P,Financial Services,14.02,-3.35,24.6,,95.34,0.0,16.0,14.02,0.0
TXN,Texas Instruments Incorporated,Technology,258.44,-22.23,24.28,0.92,42.58,51.8,22.8,324.71,25.64
ADI,"Analog Devices, Inc.",Technology,362.25,-18.51,22.17,0.54,39.5,163.5,39.6,470.25,29.81
CBRS,Cerebras Systems Inc.,Technology,210.05,-45.63,164.92,,-264.97,0.0,74.3,291.64,38.84
OSS,"One Stop Systems, Inc.",Technology,9.97,-52.25,90.64,,-15.21,0.0,62.3,19.0,90.57
PENG,"Penguin Solutions, Inc.",Technology,51.76,-42.4,15.48,,10.83,0.0,47.6,74.29,43.52
STRL,"Sterling Infrastructure, Inc.",Industrials,486.49,-51.63,19.16,0.6,20.05,116.5,90.1,876.0,80.07
ZETA,Zeta Global Holdings Corp.,Technology,31.35,-4.45,25.94,0.77,3.82,0.0,43.5,31.36,0.02
CSCO,"Cisco Systems, Inc.",Technology,109.2,-15.93,19.49,1.01,27.72,52.1,17.6,137.62,26.03
AXTI,AXT Inc,Technology,61.64,-56.94,27.69,12.09,21.9,0.0,164.8,91.6,48.6
SNDK,Sandisk Corporation,Technology,1740.0,-26.1,6.57,,78.47,0.0,371.6,2125.09,22.13
RDDT,"Reddit, Inc.",Communication Services,154.46,-45.41,15.94,0.77,28.79,177.8,61.1,213.1,37.97
LUNR,"Intuitive Machines, Inc.",Industrials,14.81,-68.32,-95.55,,-18.1,0.0,309.8,29.5,99.19
VIAV,Viavi Solutions Inc.,Technology,34.86,-42.31,17.87,1.34,14.31,326.5,52.5,61.43,76.22
AEVA,"Aeva Technologies, Inc.",Technology,15.69,-49.87,-9.76,,-563.23,0.0,11.3,30.0,91.2
SPIR,"Spire Global, Inc.",Industrials,11.98,-53.8,-30.72,,-107.31,0.0,-5.9,20.88,74.25
ARQQ,Arqit Quantum Inc.,Technology,21.37,-65.53,-20.16,,-4931.62,0.0,829.9,21.37,0.0
LAZR,Tema Photonics & Optical ETF,Tecnología,42.59,-16.19,53.16,,0.0,0.0,0.0,42.59,0.0
MTSI,MACOM Technology Solutions Hold,Technology,268.95,-35.8,31.72,2.05,23.34,166.7,35.8,395.33,46.99
GILT,Gilat Satellite Networks Ltd.,Technology,10.12,-51.65,13.2,4.99,9.53,-42.1,16.9,19.2,89.72
TWST,Twist Bioscience Corporation,Healthcare,124.72,-19.76,-196.93,,-30.65,0.0,23.2,108.6,-12.92
CLSK,"CleanSpark, Inc.",Financial Services,12.69,-46.25,-8.96,,-165.19,0.0,-30.5,23.81,87.61
LEU,Centrus Energy Corp.,Energy,173.89,-62.54,45.49,2.87,5.34,-51.6,14.0,248.28,42.78
SMR,NuScale Power Corporation,Industrials,9.7,-83.11,-14.88,,-85337.33,0.0,-99.1,12.63,30.24
ZTS,Zoetis Inc.,Healthcare,75.81,-50.2,11.61,7.05,40.72,1.2,-0.2,96.0,26.63
AAOI,"Applied Optoelectronics, Inc.",Technology,105.53,-54.84,22.93,0.78,-12.88,0.0,86.4,163.4,54.84
OKLO,Oklo Inc.,Utilities,41.27,-78.71,-41.1,,-6048.76,0.0,0.0,79.88,93.54
VPG,"Vishay Precision Group, Inc.",Technology,63.01,-58.49,35.2,1.79,0.52,0.0,11.7,93.33,48.12
SYM,Symbotic Inc.,Industrials,42.94,-51.14,55.44,5.3,4.59,0.0,21.7,64.32,49.79
INFQ,"Infleqtion, Inc.",Technology,12.85,-39.61,-57.14,,-214.64,0.0,156.5,21.33,66.02
USAR,"USA Rare Earth, Inc.",Basic Materials,17.61,-59.96,587.0,,-795.64,0.0,0.0,35.56,101.91
ROKU,"Roku, Inc.",Communication Services,155.59,-2.69,39.66,0.61,12.17,1442.9,21.9,162.33,4.33
CRSP,CRISPR Therapeutics AG,Healthcare,55.79,-28.91,-15.95,,-1127.55,0.0,1041.4,87.56,56.94
INSM,Insmed Incorporated,Healthcare,126.29,-40.64,157.42,1.09,-23.81,0.0,296.1,200.18,58.51
UI,Ubiquiti Inc.,Technology,579.66,-47.15,29.61,1.1,36.27,6.8,23.5,734.5,26.71
APLD,Applied Digital Corporation,Technology,26.37,-48.01,-105.48,1.83,-48.22,0.0,406.6,74.23,181.48
VSAT,"ViaSat, Inc.",Technology,75.32,-19.04,451.91,0.26,4.44,0.0,-1.2,103.94,38.0
PGY,Pagaya Technologies Ltd.,Technology,22.98,-48.92,5.54,0.04,27.33,143.3,18.6,28.91,25.8
BETR,Better Home & Finance Holding C,Financial Services,14.48,-84.61,-29.85,,-56.86,0.0,28.2,25.67,77.32
TMC,TMC the metals company Inc.,Basic Materials,4.44,-60.88,-18.5,,0.0,0.0,0.0,10.67,140.24
LTBR,Lightbridge Corporation,Industrials,7.58,-75.81,0.0,,0.0,0.0,0.0,7.58,0.0
GRAL,"GRAIL, Inc.",Healthcare,80.34,-32.4,-8.14,,-332.0,0.0,25.7,73.5,-8.51
OPEN,Opendoor Technologies Inc,Real Estate,3.15,-71.02,-66.67,,-15.86,0.0,-43.7,4.7,49.21
CIFR,Cipher Digital Inc.,Technology,17.74,-41.14,81.88,,-301.69,0.0,-43.0,32.18,81.38
NVTS,Navitas Semiconductor Corporati,Technology,11.8,-65.47,-93.64,,-254.97,0.0,-27.3,14.07,19.28
